SizeKb,readmeSize,stargazers,language,forks_count,open_issues_count,DescLen,numOfContributors,isActive
1207,0,0,PHP,1,1,3,1,false
351353,0,0,C++,0,0,0,7,false
271,0,0,Python,0,0,46,2,false
1448,0,0,C,0,0,0,1,false
56,0,1,'Not Specified',0,0,13679,-1,true
12363,543,0,CSS,0,0,67,30,false
56,0,1,'Not Specified',0,0,0,-1,false
139,1271,0,Objective-C,0,0,17,3,false
100,16,0,'Not Specified',0,0,0,1,false
60,0,0,C++,0,0,38,1,false
60,0,0,C++,0,0,59,0,false
8100,0,0,Java,0,0,134,1,false
1018,2403,0,CSS,0,0,18,30,false
151094,0,0,Other,0,0,12,30,false
285,472,0,Java,0,0,66,3,false
0,0,0,'Not Specified',0,0,8,-1,false
108,0,0,Other,0,0,0,1,false
344,66,0,C,0,0,28,1,false
140,0,0,Ruby,0,0,66,1,false
12657,2150,0,CSS,0,0,13,1,false
3881,0,0,Java,0,0,79,9,false
136,0,1,JavaScript,0,0,30,1,false
62157,0,0,Java,0,0,37,7,false
128,72,0,'Not Specified',0,0,40,1,false
484,35,0,Objective-C,0,0,13,1,false
144,0,0,JavaScript,0,0,0,1,false
27559,0,0,Java,0,0,45,20,false
1598,86,0,Other,0,0,44,1,false
157,12688,0,'Not Specified',0,0,37,8,false
136,0,0,Objective-C,0,0,0,0,false
50402,1819,0,JavaScript,0,0,26,30,false
0,0,0,'Not Specified',0,0,8,-1,false
2396,3514,662,Java,164,2,47,1,true
180,0,0,Ruby,0,0,0,1,false
503,0,0,Python,0,0,38,30,false
576,169,1,Python,1,0,12,1,false
20193,0,0,CSS,0,0,43,12,false
116,4021,0,Other,0,0,69,2,false
720,0,0,'Not Specified',0,0,11,1,false
30601,7739,0,JavaScript,0,0,66,7,false
524,2227,0,Other,0,0,11,2,false
912,24,0,Java,1,0,0,1,false
744,0,0,Java,0,0,75,2,false
0,0,0,'Not Specified',0,0,8,-1,false
0,25,0,'Not Specified',0,0,7,1,false
0,0,0,'Not Specified',0,0,3,-1,false
0,8,0,'Not Specified',0,0,0,1,false
384,533,0,Ruby,0,0,0,1,false
664,17242,0,Ruby,0,0,32,7,false
126,55,2,Other,3,0,27,1,false
813,0,0,Java,0,0,48,0,false
180,214,0,JavaScript,0,0,80,1,false
144,338,0,Java,1,0,130,1,false
847,67013,0,Ruby,0,0,42,30,false
0,0,0,'Not Specified',0,0,17,-1,false
0,67,0,'Not Specified',0,0,43,1,false
2305,2307,0,C,0,0,47,2,false
633,0,0,Python,0,0,30,4,false
0,0,0,'Not Specified',0,0,0,-1,false
128,620,0,JavaScript,0,0,28,1,false
788,407,2,Python,0,1,47,1,false
60546,5364,0,C++,0,0,176,30,false
588,1248,0,PHP,0,0,16,1,false
596,54,0,JavaScript,0,0,6,1,false
176,0,0,Python,0,0,67,1,false
2846,0,0,Python,0,0,46,14,false
48092,1636,0,JavaScript,0,0,85,30,false
604,1329,1,Python,0,0,48,1,true
0,0,0,'Not Specified',0,0,8,-1,false
754,2192,0,Other,0,0,34,12,false
1259,0,1,JavaScript,0,0,100,0,false
120,1256,1,JavaScript,0,0,42,1,false
0,22,1,'Not Specified',0,0,24,1,false
120,0,0,Objective-C,0,0,0,0,false
289,406,0,Java,0,0,24,2,false
22635,134,0,PHP,0,0,19,5,false
10024,0,0,JavaScript,0,0,93,30,true
11716,171,1,Python,0,0,152,1,true
204,214,0,Other,0,0,88,1,false
5023,2743,0,Java,0,0,90,8,false
0,0,0,'Not Specified',0,0,0,-1,false
0,40,0,'Not Specified',0,0,0,1,false
0,44,0,'Not Specified',0,0,0,1,false
136,415,0,Other,0,0,45,1,false
4984,2714,0,Java,0,0,65,30,false
157,12688,0,'Not Specified',0,0,37,8,false
176,0,0,Python,0,0,41,7,false
66,55,0,Other,0,0,27,1,false
0,0,0,'Not Specified',0,0,8,-1,false
47917,12,0,Python,0,0,11,30,false
148,134,0,C++,0,0,108,1,false
128,49,0,JavaScript,0,0,25,1,false
140,359,1,Java,0,0,6,1,false
276,13,0,'Not Specified',0,0,30,1,false
3600,652,0,Other,0,0,23,1,false
189050,0,0,Java,0,0,47,30,false
0,0,0,'Not Specified',0,0,8,-1,false
124,2496,0,PHP,0,0,0,1,false
239,159,0,Python,0,0,54,1,false
150,1729,0,JavaScript,0,0,66,6,false
0,20,0,'Not Specified',0,0,0,1,false
692812,0,0,Other,0,0,0,11,false
177724,204,0,JavaScript,0,0,118,1,false
0,0,0,'Not Specified',0,0,8,-1,false
119825,536,0,Objective-C,0,0,86,30,false
240,168,0,'Not Specified',0,0,0,1,false
124,0,0,'Not Specified',0,0,0,1,false
3160,0,0,Java,0,0,0,1,false
440,2568,1,C++,0,0,45,1,true
0,0,0,'Not Specified',0,0,8,-1,false
509,1995,0,Other,0,0,60,18,false
116,77,0,PHP,0,0,61,1,false
144,141,0,JavaScript,4,0,55,1,false
4764,42,0,C++,0,0,8,1,false
164,103,0,Java,0,0,28,1,false
8443,401,0,'Not Specified',0,0,62,26,false
1012,0,0,Java,0,3,49,1,false
3123,3142,0,'Not Specified',0,0,63,12,false
1725,4472,0,'Not Specified',0,0,47,3,false
21233,19174,0,'Not Specified',0,0,190,3,false
657,3615,0,Ruby,0,0,56,30,false
8781,1488,0,Java,0,0,35,2,false
116,0,0,'Not Specified',0,0,116,1,false
544,3925,0,CSS,0,0,43,3,false
0,0,0,'Not Specified',0,0,10,-1,false
10806,0,0,'Not Specified',0,0,66,16,false
9776,12,0,HTML,0,0,0,1,false
94889,79,0,Ruby,0,0,60,1,true
0,0,0,'Not Specified',0,0,4,-1,false
624,0,0,'Not Specified',0,0,47,1,false
5373,68774,0,'Not Specified',0,0,68,30,false
9141,0,1,'Not Specified',0,0,45,3,false
272,36,0,JavaScript,0,0,0,1,false
14299,809,0,'Not Specified',0,0,38,1,false
9,1340,0,'Not Specified',0,0,0,1,false
538700,705,0,'Not Specified',0,0,16,6,false
247,1906,0,'Not Specified',0,0,109,2,false
36102,0,0,'Not Specified',0,0,36,30,false
1032,0,0,PHP,0,0,54,2,false
16553,1600,0,'Not Specified',0,0,61,30,false
3998,3345,0,'Not Specified',0,0,73,3,false
436,1991,0,'Not Specified',0,0,42,9,false
157,12688,0,'Not Specified',0,0,37,8,false
187013,575,0,'Not Specified',0,0,25,30,false
10272,0,0,'Not Specified',0,0,83,1,false
13676,4305,0,'Not Specified',0,0,37,7,false
586,9568,0,'Not Specified',0,0,179,3,false
1734,4619,0,'Not Specified',0,0,39,9,false
112,861,0,CSS,0,0,37,3,false
152,0,0,'Not Specified',0,0,35,1,false
0,47,0,'Not Specified',0,0,17,1,false
24264,2341,0,'Not Specified',0,0,43,7,false
